,Oligo,Target,gene,Bio_Rep,Target_oligo,Tech_Rep_1,Tech_Rep_2,Avg_Cq,,,
115,sh2,Scr,Gapdh,1,Scr_sh2,27.02955128,28.66517151,27.84736,4.14104E-09,,
116,sh3,Scr,Gapdh,1,Scr_sh3,29.75841468,30.10480036,29.93161,9.76534E-10,,
117,g1,Scr,Gapdh,2,Scr_g1,21.2717364,20.84120322,21.05647,4.58533E-07,,
118,g2,Scr,Gapdh,2,Scr_g2,21.29193849,21.03523949,21.16359,4.25721E-07,,
119,g3,Scr,Gapdh,2,Scr_g3,21.00633341,21.24104288,21.12369,4.37659E-07,,
120,g1,Myd88,Gapdh,2,Myd88_g1,21.04191902,20.32578131,20.68385,5.93664E-07,,
121,,None,Gapdh,2,None,"c(28.0828297,Ê28.82386778)","c(27.64079386,Ê28.8158174)",28.34083,2.94144E-09,,
122,sh1,Scr,Gapdh,2,Scr_sh1,20.97600257,20.54454144,20.76027,5.63036E-07,,
123,sh2,Scr,Gapdh,2,Scr_sh2,26.34786987,25.26803121,25.80795,1.70229E-08,,
124,sh3,Scr,Gapdh,2,Scr_sh3,31.10903714,30.86658418,30.98781,4.69613E-10,,
125,g1,Scr,Il-6,1,Scr_g1,30.49316803,30.48444178,30.4888,6.63677E-10,,
126,g2,Scr,Il-6,1,Scr_g2,29.47500841,29.90386634,29.68944,1.15502E-09,,
127,g3,Scr,Il-6,1,Scr_g3,29.61046593,30.02921143,29.81984,1.0552E-09,,
128,g1,Myd88,Il-6,1,Myd88_g1,30.94058265,30.57703932,30.75881,5.50396E-10,,
129,,None,Il-6,1,None,35.45884145,37.20782959,36.33334,1.15498E-11,,
130,sh1,Scr,Il-6,1,Scr_sh1,29.63911719,30.06682409,29.85297,1.03124E-09,,
131,g1,Scr,Il-6,2,Scr_g1,NULL,31.00848753,31.00849,4.62929E-10,,
132,g2,Scr,Il-6,2,Scr_g2,30.95324699,31.53652415,31.24489,3.92962E-10,,
133,g3,Scr,Il-6,2,Scr_g3,30.01860166,30.61554631,30.31707,7.47571E-10,,
134,g1,Myd88,Il-6,2,Myd88_g1,NaN,31.06882765,31.06883,4.43967E-10,,
135,sh1,Scr,Il-6,2,Scr_sh1,30.16651527,29.80469816,29.98561,9.40658E-10,,
"Showing 124 to 135 of 135 entries, 8 total columns",,,,,,,,,,,
